zone,state,lga,sector,ea,hhid,indiv,s4aq1,s4aq2,s4aq3,s4aq4,s4aq5,s4aq6,s4aq7,s4aq8,s4aq9,s4aq10,s4aq11,s4aq12,s4aq13a,s4aq13b,s4aq13c,s4aq14,s4aq15,s4aq16,s4aq17,s4aq18,s4aq19a,s4aq19b,s4aq19c,s4aq20,s4aq21,s4aq22a,s4aq22b,s4aq22,s4aq23,s4aq23_os,s4aq24,s4aq25,s4aq26,s4aq27a,s4aq27b,s4aq27c,s4aq28,s4aq29,s4aq30__1,s4aq30__2,s4aq30__3,s4aq30__4,s4aq30__5,s4aq30__6,s4aq30__7,s4aq30__8,s4aq30__96,s4aq30_os,s4aq31,s4aq32,s4aq33,s4aq33_os,s4aq34,s4aq35,s4aq36,s4aq36_os,s4aq37,s4aq37_os,s4aq38,s4aq40,s4aq40_code,s4aq41,s4aq41_code,s4aq41c,s4aq41c_os,s4aq42,s4aq43,s4aq44,s4aq45,s4aq46,s4aq47,s4aq47_tunit,s4aq48,s4aq49a,s4aq49b,s4aq50_1,s4aq50_2,s4aq50_3,s4aq50_4,s4aq50_5,s4aq50_6,s4aq51,s4aq52,s4aq52_os,s4aq53,s4aq54,s4aq55,s4aq56,s4aq57__1,s4aq57__2,s4aq57__3,s4aq57__4,s4aq57__5,s4aq57__6,s4aq57__7,s4aq57__8,s4aq57__9,s4aq57__10,s4aq57__96,s4aq57_os,s4aq58__0,s4aq58__1,s4aq58__2,s4aq58__3,s4aq58__4,s4aq58__5,s4aq58__6,s4aq58__7,s4aq58__8,s4aq58__9,s4aq58__10,s4aq58__11,s4aq58__12,s4aq58__13,s4aq58__14,s4aq58__15,s4aq58__16,s4aq58__17,s4aq58__18,s4aq58__19,s4aq58nb,s4aq59,s4aq60,s4aq61a,s4aq61b,s4aq62,s4aq63a,s4aq63b
4. South East,4. Anambra,417. ONITSHA NORTH,1. URBAN,114,49077,604,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,0. NO HOUR,30,1. YES,20,0. NO MINUTES
4. South East,4. Anambra,417. ONITSHA NORTH,1. URBAN,114,49077,605,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,4. Anambra,417. ONITSHA NORTH,1. URBAN,114,49079,1,1. YES,1. YES,,2. NO,,1. YES,50,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,TRICYCLE TRANSPORTATION SERVICES,"8322. Car, taxi and van drivers",TRANSPORT OF PEOPLE AND GOODS,4921. Urban and suburban passenger land transport,TRANSPORTATION & STORAGE,,1. In own business or farming activity,12,4,5,10,3000,2. ONE DAY,2. NO,,,0,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,4. Anambra,417. ONITSHA NORTH,1. URBAN,114,49079,2,1. YES,2. NO,1,2. NO,,1. YES,42,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,RETAIL SALE OF FOOD ITEMS,5211. Stall and market salespersons,SELLING OF FOOD ITEMS,"4781. Retail sale via stalls and markets of food, beverages and tobacco products",WHOLESALE & RETAIL TRADE,,1. In own business or farming activity,12,4,5,9,1500,2. ONE DAY,2. NO,,,1,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,4. Anambra,417. ONITSHA NORTH,1. URBAN,114,49079,3,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,1. YES,4,0. NO MINUTES
4. South East,4. Anambra,417. ONITSHA NORTH,1. URBAN,114,49080,1,1. YES,1. YES,,2. NO,,1. YES,9,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,SALES OF TRADITIONAL MEDICINE,3230. Traditional and complementary medicine associate professionals,RETAIL SALES OF TRADITIONAL MEDICINE,8690. Other human health activities,HEALTH,,1. In own business or farming activity,12,4,3,9,50000,5. ONE MONTH,2. NO,,,0,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,4. Anambra,417. ONITSHA NORTH,1. URBAN,114,49080,2,1. YES,1. YES,,2. NO,,1. YES,8,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,RETAIL SALES OF FRUITS IN THE MARKET,5211. Stall and market salespersons,TRADING ON FURIT ITEMS IN THE MARKET,1030. Processing and preserving of fruit and vegetables,WHOLESALE & RETAIL TRADE,,1. In own business or farming activity,12,4,5,8,17000,3. ONE WEEK,2. NO,,,1,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,4. Anambra,417. ONITSHA NORTH,1. URBAN,114,49080,5,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,0. NO HOUR,40,1. YES,0. NO HOUR,30
4. South East,4. Anambra,417. ONITSHA NORTH,1. URBAN,114,49080,5101,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,1. YES,7. UNDERGOING TRAINING TO HELP FIND WORK,,1. YES,,,,Engaged in HH/family responsibilities,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,0. NO HOUR,35,1. YES,0. NO HOUR,45
4. South East,4. Anambra,417. ONITSHA NORTH,1. URBAN,114,49081,2,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,1. YES,,10,2. NO,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,SALES OF FOOD STUFF IN THE MARKET,5211. Stall and market salespersons,BUYING AND SELLING OF FOOD ITEMS,"4781. Retail sale via stalls and markets of food, beverages and tobacco products",WHOLESALE & RETAIL TRADE,,1. In own business or farming activity,12,4,5,10,25000,3. ONE WEEK,2. NO,,,0,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,4. Anambra,417. ONITSHA NORTH,1. URBAN,114,49081,4,1. YES,2. NO,6,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,1. YES,,7,2. NO,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,REPAIRS OF GENERATORS AND OTHER SERVICES,2152. Electronics engineers,REPAIR OF GENERATOR AND SERVICES,3313. Repair of electronic and optical equipment,"PROFFESIONAL, SCIENTIFIC, TECHNICAL ACTIVITIES",,1. In own business or farming activity,12,4,6,7,15000,3. ONE WEEK,2. NO,,,2,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,4. Anambra,417. ONITSHA NORTH,1. URBAN,114,49081,6,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,4. Anambra,417. ONITSHA NORTH,1. URBAN,114,49082,1,1. YES,2. NO,2,2. NO,,1. YES,10,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,TRADING ON DRY PEPPER ( OSA),9622. Odd job persons,RETAIL AND WHOLESALE OF DRY PEPPER ( OSE),4620. Wholesale of agricultural raw materials and live animals,WHOLESALE & RETAIL TRADE,,1. In own business or farming activity,12,4,4,9,55000,3. ONE WEEK,2. NO,,,0,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,4. Anambra,417. ONITSHA NORTH,1. URBAN,114,49082,2,1. YES,1. YES,,2. NO,,1. YES,10,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,TRADING ON THE FOOD STUFF IN THE MARKET,5211. Stall and market salespersons,RETAIL SALES OF FOOD STUFF IN THE MARKET,4721. Retail sale of food in specialized stores,WHOLESALE & RETAIL TRADE,,1. In own business or farming activity,12,4,6,9,40000,3. ONE WEEK,2. NO,,,1,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,4. Anambra,417. ONITSHA NORTH,1. URBAN,114,49082,3,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,0. NO HOUR,50,1. YES,0. NO HOUR,30
4. South East,4. Anambra,417. ONITSHA NORTH,1. URBAN,114,49082,4,1. YES,2. NO,2,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,1,0. NO MINUTES,1. YES,0. NO HOUR,40
4. South East,4. Anambra,417. ONITSHA NORTH,1. URBAN,114,49082,5,1. YES,2. NO,2,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,4. Anambra,417. ONITSHA NORTH,1. URBAN,114,49082,5101,1. YES,1. YES,,1. YES,10,2. NO,,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,RETAIL SALES OF MOTOR OIL IN THE MARKET,5211. Stall and market salespersons,TRADING ON MOTOR OIL IN THE MARKET,4530. Sale of motor vehicle parts and accessories,WHOLESALE & RETAIL TRADE,,3. As an employee,12,4,5,10,30000,5. ONE MONTH,2. NO,,,5,,,,,,1. Yes,5. PRIVATE SECTOR (INCLUDING PAID APPRENTICES),,2. NO,2. NO,2. 2-4,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4. EVERY WEEK,2. NO,,,1. YES,0. NO HOUR,25
4. South East,4. Anambra,417. ONITSHA NORTH,1. URBAN,114,49083,1,1. YES,1. YES,,2. NO,,1. YES,56,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,CARPENTER FOR HOUSE ROOFING,7115. Carpenters and joiners,ROOFING PEOPLES HOUSE WITH WOOD AND ZINC.,1622. Manufacture of builders' carpentry and joinery,CONSTRUCTION,,3. As an employee,12,4,6,8,50000,5. ONE MONTH,2. NO,,,0,,,,,,1. Yes,"7. HOUSEHOLD(S), AS A DOMESTIC WORKER",,2. NO,2. NO,2. 2-4,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4. EVERY WEEK,2. NO,,,2. NO,,
4. South East,4. Anambra,417. ONITSHA NORTH,1. URBAN,114,49083,2,1. YES,1. YES,,2. NO,,1. YES,56,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,SALES OF SOFT DRINKS AT THE DEWELLING.,5211. Stall and market salespersons,RETAIL SALES OF SOFT DRINKS AND SACHET WATER.,"4781. Retail sale via stalls and markets of food, beverages and tobacco products",WHOLESALE & RETAIL TRADE,,1. In own business or farming activity,12,4,6,8,20000,5. ONE MONTH,2. NO,,,1,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,4. Anambra,417. ONITSHA NORTH,1. URBAN,114,49083,3,1. YES,2. NO,2,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Doing nothing,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,4. Anambra,417. ONITSHA NORTH,1. URBAN,114,49083,4,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Engaged in HH/family responsibilities,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,1. YES,14,0. NO MINUTES
4. South East,4. Anambra,419. ORUMBA NORTH,1. URBAN,1006,49085,2,1. YES,1. YES,,1. YES,4,2. NO,,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,OTHER SERVICES:SWEEPING OF COMPOUND,9111. Domestic cleaners and helpers,OTHER SERVICES:SWEEPING OF COMPOUND,9700. Activities of households as employers of domestic personnel,OTHER (SPECIFY),OTHER SERVICES:SWEEPING OF COMPOUND,3. As an employee,12,4,4,1,5000,5. ONE MONTH,2. NO,,,0,,,,,,1. Yes,"7. HOUSEHOLD(S), AS A DOMESTIC WORKER",,2. NO,2. NO,1. 1,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4. EVERY WEEK,2. NO,,,2. NO,,
4. South East,4. Anambra,419. ORUMBA NORTH,1. URBAN,1006,49085,3,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,4. Anambra,419. ORUMBA NORTH,1. URBAN,1006,49085,4,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,4. Anambra,419. ORUMBA NORTH,1. URBAN,1006,49086,1,1. YES,1. YES,,2. NO,,1. YES,30,2. NO,,2. NO,1. YES,2,2. Both for sale and for household use,3. 1/2 (50 PERCENT),3. RESPONDENT INSISTS THAT PRECISELY Â½ (50 PERCENT) WAS SOLD AND Â½ (50 PERCENT) WAS KEPT FOR HOUSEHOLD USE,1. Yes,,,,,,,,2. No,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,WHOLE SALE AND RETAIL SALE OF BREAD FRUIT,,WHOLE SALE AND RETAIL SALE OF BREAD FRUIT,,WHOLESALE & RETAIL TRADE,,1. In own business or farming activity,10,4,4,5,10000,5. ONE MONTH,2. NO,,,0,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,4. Anambra,419. ORUMBA NORTH,1. URBAN,1006,49088,1,1. YES,1. YES,,2. NO,,1. YES,3,2. NO,,1. YES,,3,2. Both for sale and for household use,4. 3/4 (75 PERCENT),,1. Yes,,,,,,,,2. No,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,NON ACADEMIC STAFF FEDERAL POLYTECHNIC OKO,2310. University and higher education teachers,NON ACADEMIC STAFF FEDERAL POLYTECHNIC OKO,8550. Educational support activities,EDUCATION,,3. As an employee,12,4,4,8,160000,5. ONE MONTH,2. NO,,,0,,,,,,1. Yes,1. FEDERAL GOVERNMENT,,2. NO,1. YES,2. 2-4,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,1. YES,2. NO,1. YES,2. NO,2. NO,2. NO,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4. EVERY WEEK,2. NO,,,2. NO,,
4. South East,4. Anambra,419. ORUMBA NORTH,1. URBAN,1006,49088,2,1. YES,1. YES,,2. NO,,1. YES,6,2. NO,,1. YES,,6,2. Both for sale and for household use,4. 3/4 (75 PERCENT),,1. Yes,,,,,,,,2. No,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,AGRICULTURAL ACTIVITIES- FARMER,6310. Subsistence crop farmers,FARMING AND OTHER AGRICULTURAL ACTIVITIES,150. Mixed farming,"AGRICULTURE, FORESTRY & FISHING",,1. In own business or farming activity,12,4,5,6,2500,2. ONE DAY,2. NO,,,1,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,4. Anambra,419. ORUMBA NORTH,1. URBAN,1006,49088,3,1. YES,2. NO,2,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,4. Anambra,419. ORUMBA NORTH,1. URBAN,1006,49089,1,1. YES,1. YES,,1. YES,8,2. NO,,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,WORK IN MINISTRY OF AGRICULTURE,1311. Agricultural and forestry production managers,WORKING IN MINISTRY OF AGRICULTURE AS A CIVIL SERVANT,8411. General public administration activities,PUBLIC ADMINISTRATION,,3. As an employee,12,4,4,8,75000,5. ONE MONTH,2. NO,,,0,,,,,,1. Yes,2. STATE GOVERNMENT,,2. NO,1. YES,5. 20-49,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3. 3 WEEKS PER MONTH,2. NO,,,2. NO,,
4. South East,4. Anambra,419. ORUMBA NORTH,1. URBAN,1006,49089,2,1. YES,1. YES,,2. NO,,1. YES,9,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,SEWING OF CLOTHES AS A TAILOR,"7531. Tailors, dressmakers, furriers and hatters",MAKING OF DRESSES AS A TAILOR,"1410. Manufacture of wearing apparel, except fur apparel",MANUFACTURING,,1. In own business or farming activity,12,4,5,9,37000,5. ONE MONTH,1. YES,15000,6. ONE QUARTER (4 MONTHS),1,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,0. NO HOUR,40,2. NO,,
4. South East,4. Anambra,419. ORUMBA NORTH,1. URBAN,1006,49089,3,1. YES,2. NO,2,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,4. Anambra,419. ORUMBA NORTH,1. URBAN,1006,49089,1301,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,4. Anambra,419. ORUMBA NORTH,1. URBAN,1006,49090,1,1. YES,1. YES,,2. NO,,1. YES,10,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,MOTOR TRANSPORTATION BUSINESS,8331. Bus and tram drivers,TRANSPORTATION BUSINESS AS A DRIVER,4921. Urban and suburban passenger land transport,TRANSPORTATION & STORAGE,,1. In own business or farming activity,12,4,4,10,35000,5. ONE MONTH,2. NO,,,0,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,4. Anambra,419. ORUMBA NORTH,1. URBAN,1006,49090,2,1. YES,1. YES,,2. NO,,1. YES,8,2. NO,,1. YES,,4,2. Both for sale and for household use,5. MORE THAN 3/4 (MORE THAN 75 PERCENT),,1. Yes,,,,,,,,2. No,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,RESTAURANT BUSINESS ( COOKER ),9411. Fast food preparers,SELLING OF  COOKED FOOD RESTAURANT,5610. Restaurants and mobile food service activities,ACCOMODATION & FOOD SERVICES,,1. In own business or farming activity,10,4,5,8,15000,2. ONE DAY,2. NO,,,1,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,4. Anambra,419. ORUMBA NORTH,1. URBAN,1006,49090,3,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,0. NO HOUR,40,1. YES,0. NO HOUR,20
4. South East,4. Anambra,419. ORUMBA NORTH,1. URBAN,1006,49090,4,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,0. NO HOUR,55,2. NO,,
4. South East,4. Anambra,419. ORUMBA NORTH,1. URBAN,1006,49090,5,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,0. NO HOUR,30,1. YES,0. NO HOUR,20
