zone,state,lga,sector,ea,hhid,shock_cd,shock_other,s12q0,s12q1,s12q2,s12q3,s12q4a,s12q4b,s12q5_1,s12q5_2,s12q5_3,s12q5_4,s12q5_os,s12q6
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109069,25. Increase in price of oil and fuel,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109069,"26. Increase in prices of other fuels (excluding petrol) (e.g. cooking gas, kerosene, firewood, charcoal)",,1,1. YES,2,2. 2024,1. YES,1. YES,8. RECEIVED ASSISTANCE FROM FRIENDS & FAMILY,9. BORROWED FROM FRIENDS & FAMILY,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109069,27. Shortage/scarcity of petrol,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109069,28. Dwelling/farm buildings/business facilities damaged or demolished,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109069,96. Other (specify),,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,1. Floods,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,2. Irregular rains (including unexpected variation in timing and rainfall amount),,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,3. Droughts,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,4. Fire,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,5. Very high temperatures (&gt;40Â°C),,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,6. Pests and Plant Diseases,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,7. Death of livestock due to illness,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,8. Post Harvest Loss,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,9. Death of a household member (including all causes),,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,10. Diseases or injury of household member (including all causes),,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,11. Stopped receiving remittances sent to the household,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,12. Loss of a regular job of a household member,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,"13. Departure of a household member (Abandonment, separation, marriage)",,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,14. Loss of an important contract or default by a creditor,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,"15. Nonfarm Business closure, failure or bankruptcy",,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,16. Loss of land,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,17. Theft/looting of cash and other property,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,18. Hijacking/robbery/assault of a household member,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,19. Kidnapping/Abduction for ransom,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,20. Domestic violence,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,"21. Withdraw of assistance (government, NGO, or other organizations)",,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,22. Increase in price of farming/business inputs (excluding petrol and other fuels),,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,23. Fall in the price of farming/business output,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,24. Increase in price of major food items usually consumed by the household,,1,1. YES,5,2. 2024,1. YES,2. NO,6. ENGAGED IN ADDITIONAL INCOME GENERATING ACTIVITIES,17. RELIED ON SAVINGS,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,25. Increase in price of oil and fuel,,1,1. YES,3,2. 2024,1. YES,2. NO,6. ENGAGED IN ADDITIONAL INCOME GENERATING ACTIVITIES,17. RELIED ON SAVINGS,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,"26. Increase in prices of other fuels (excluding petrol) (e.g. cooking gas, kerosene, firewood, charcoal)",,1,1. YES,3,2. 2024,1. YES,2. NO,6. ENGAGED IN ADDITIONAL INCOME GENERATING ACTIVITIES,17. RELIED ON SAVINGS,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,27. Shortage/scarcity of petrol,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,28. Dwelling/farm buildings/business facilities damaged or demolished,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1012. NDOKWA WEST,2. RURAL,1106,109071,96. Other (specify),,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,1. Floods,,1,1. YES,3,1. 2023,2. NO,2. NO,17. RELIED ON SAVINGS,6. ENGAGED IN ADDITIONAL INCOME GENERATING ACTIVITIES,12. CREDITED PURCHASES,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,2. Irregular rains (including unexpected variation in timing and rainfall amount),,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,3. Droughts,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,4. Fire,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,5. Very high temperatures (&gt;40Â°C),,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,6. Pests and Plant Diseases,,1,1. YES,2,0. 2022,1. YES,2. NO,22. DID NOTHING,,,,,2. THE SHOCK IS TOO FREQUENT SO THEY GOT USED TO IT
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,7. Death of livestock due to illness,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,8. Post Harvest Loss,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,9. Death of a household member (including all causes),,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,10. Diseases or injury of household member (including all causes),,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,11. Stopped receiving remittances sent to the household,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,12. Loss of a regular job of a household member,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,"13. Departure of a household member (Abandonment, separation, marriage)",,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,14. Loss of an important contract or default by a creditor,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,"15. Nonfarm Business closure, failure or bankruptcy",,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,16. Loss of land,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,17. Theft/looting of cash and other property,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,18. Hijacking/robbery/assault of a household member,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,19. Kidnapping/Abduction for ransom,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,20. Domestic violence,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,"21. Withdraw of assistance (government, NGO, or other organizations)",,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,22. Increase in price of farming/business inputs (excluding petrol and other fuels),,1,1. YES,3,1. 2023,1. YES,2. NO,6. ENGAGED IN ADDITIONAL INCOME GENERATING ACTIVITIES,17. RELIED ON SAVINGS,12. CREDITED PURCHASES,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,23. Fall in the price of farming/business output,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,24. Increase in price of major food items usually consumed by the household,,1,1. YES,6,2. 2024,1. YES,1. YES,6. ENGAGED IN ADDITIONAL INCOME GENERATING ACTIVITIES,15. REDUCED FOOD CONSUMPTION,16. REDUCED NON-FOOD CONSUMPTION INCLUDING HEALTH AND EDUCATION,17. RELIED ON SAVINGS,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,25. Increase in price of oil and fuel,,1,1. YES,3,2. 2024,2. NO,2. NO,13. DELAYED PAYMENT OBLIGATIONS,12. CREDITED PURCHASES,17. RELIED ON SAVINGS,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,"26. Increase in prices of other fuels (excluding petrol) (e.g. cooking gas, kerosene, firewood, charcoal)",,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,27. Shortage/scarcity of petrol,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,28. Dwelling/farm buildings/business facilities damaged or demolished,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,96. Other (specify),,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,1. Floods,,3,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,2. Irregular rains (including unexpected variation in timing and rainfall amount),,3,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,3. Droughts,,3,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,4. Fire,,3,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,5. Very high temperatures (&gt;40Â°C),,3,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,6. Pests and Plant Diseases,,3,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,7. Death of livestock due to illness,,3,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,8. Post Harvest Loss,,3,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,9. Death of a household member (including all causes),,3,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,10. Diseases or injury of household member (including all causes),,3,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,11. Stopped receiving remittances sent to the household,,3,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,12. Loss of a regular job of a household member,,3,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,"13. Departure of a household member (Abandonment, separation, marriage)",,3,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,14. Loss of an important contract or default by a creditor,,3,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,"15. Nonfarm Business closure, failure or bankruptcy",,3,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,16. Loss of land,,3,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,17. Theft/looting of cash and other property,,3,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,18. Hijacking/robbery/assault of a household member,,3,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,19. Kidnapping/Abduction for ransom,,3,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,20. Domestic violence,,3,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,"21. Withdraw of assistance (government, NGO, or other organizations)",,3,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,22. Increase in price of farming/business inputs (excluding petrol and other fuels),,3,1. YES,3,2. 2024,1. YES,2. NO,12. CREDITED PURCHASES,17. RELIED ON SAVINGS,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,23. Fall in the price of farming/business output,,3,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,24. Increase in price of major food items usually consumed by the household,,3,1. YES,5,2. 2024,1. YES,2. NO,14. SOLD HARVEST IN ADVANCE,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,25. Increase in price of oil and fuel,,3,1. YES,4,2. 2024,1. YES,2. NO,17. RELIED ON SAVINGS,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,"26. Increase in prices of other fuels (excluding petrol) (e.g. cooking gas, kerosene, firewood, charcoal)",,3,1. YES,4,2. 2024,1. YES,2. NO,12. CREDITED PURCHASES,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,27. Shortage/scarcity of petrol,,3,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,28. Dwelling/farm buildings/business facilities damaged or demolished,,3,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,96. Other (specify),,3,2. NO,,,,,,,,,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,1. Floods,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,2. Irregular rains (including unexpected variation in timing and rainfall amount),,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,3. Droughts,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,4. Fire,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,5. Very high temperatures (&gt;40Â°C),,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,6. Pests and Plant Diseases,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,7. Death of livestock due to illness,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,8. Post Harvest Loss,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,9. Death of a household member (including all causes),,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,10. Diseases or injury of household member (including all causes),,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,11. Stopped receiving remittances sent to the household,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,12. Loss of a regular job of a household member,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,"13. Departure of a household member (Abandonment, separation, marriage)",,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,14. Loss of an important contract or default by a creditor,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,"15. Nonfarm Business closure, failure or bankruptcy",,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,16. Loss of land,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,17. Theft/looting of cash and other property,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,18. Hijacking/robbery/assault of a household member,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,19. Kidnapping/Abduction for ransom,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,20. Domestic violence,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,"21. Withdraw of assistance (government, NGO, or other organizations)",,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,22. Increase in price of farming/business inputs (excluding petrol and other fuels),,1,1. YES,2,2. 2024,2. NO,2. NO,17. RELIED ON SAVINGS,25. REDUCED PURCHASE QUANTITY COMPARED TO THE PAST,,,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,23. Fall in the price of farming/business output,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,24. Increase in price of major food items usually consumed by the household,,1,1. YES,6,2. 2024,2. NO,2. NO,6. ENGAGED IN ADDITIONAL INCOME GENERATING ACTIVITIES,13. DELAYED PAYMENT OBLIGATIONS,15. REDUCED FOOD CONSUMPTION,17. RELIED ON SAVINGS,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,25. Increase in price of oil and fuel,,1,1. YES,3,2. 2024,2. NO,2. NO,6. ENGAGED IN ADDITIONAL INCOME GENERATING ACTIVITIES,16. REDUCED NON-FOOD CONSUMPTION INCLUDING HEALTH AND EDUCATION,25. REDUCED PURCHASE QUANTITY COMPARED TO THE PAST,17. RELIED ON SAVINGS,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,"26. Increase in prices of other fuels (excluding petrol) (e.g. cooking gas, kerosene, firewood, charcoal)",,1,1. YES,3,2. 2024,2. NO,2. NO,12. CREDITED PURCHASES,17. RELIED ON SAVINGS,,,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,27. Shortage/scarcity of petrol,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,28. Dwelling/farm buildings/business facilities damaged or demolished,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,96. Other (specify),,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,1. Floods,,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,2. Irregular rains (including unexpected variation in timing and rainfall amount),,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,3. Droughts,,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,4. Fire,,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,5. Very high temperatures (&gt;40Â°C),,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,6. Pests and Plant Diseases,,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,7. Death of livestock due to illness,,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,8. Post Harvest Loss,,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,9. Death of a household member (including all causes),,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,10. Diseases or injury of household member (including all causes),,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,11. Stopped receiving remittances sent to the household,,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,12. Loss of a regular job of a household member,,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,"13. Departure of a household member (Abandonment, separation, marriage)",,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,14. Loss of an important contract or default by a creditor,,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,"15. Nonfarm Business closure, failure or bankruptcy",,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,16. Loss of land,,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,17. Theft/looting of cash and other property,,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,18. Hijacking/robbery/assault of a household member,,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,19. Kidnapping/Abduction for ransom,,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,20. Domestic violence,,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,"21. Withdraw of assistance (government, NGO, or other organizations)",,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,22. Increase in price of farming/business inputs (excluding petrol and other fuels),,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,23. Fall in the price of farming/business output,,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,24. Increase in price of major food items usually consumed by the household,,2,1. YES,5,2. 2024,1. YES,2. NO,8. RECEIVED ASSISTANCE FROM FRIENDS & FAMILY,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,25. Increase in price of oil and fuel,,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,"26. Increase in prices of other fuels (excluding petrol) (e.g. cooking gas, kerosene, firewood, charcoal)",,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,27. Shortage/scarcity of petrol,,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,28. Dwelling/farm buildings/business facilities damaged or demolished,,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,96. Other (specify),,2,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,1. Floods,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,2. Irregular rains (including unexpected variation in timing and rainfall amount),,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,3. Droughts,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,4. Fire,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,5. Very high temperatures (&gt;40Â°C),,1,1. YES,2,2. 2024,2. NO,2. NO,22. DID NOTHING,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,6. Pests and Plant Diseases,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,7. Death of livestock due to illness,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,8. Post Harvest Loss,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,9. Death of a household member (including all causes),,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,10. Diseases or injury of household member (including all causes),,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,11. Stopped receiving remittances sent to the household,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,12. Loss of a regular job of a household member,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,"13. Departure of a household member (Abandonment, separation, marriage)",,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,14. Loss of an important contract or default by a creditor,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,"15. Nonfarm Business closure, failure or bankruptcy",,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,16. Loss of land,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,17. Theft/looting of cash and other property,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,18. Hijacking/robbery/assault of a household member,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,19. Kidnapping/Abduction for ransom,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,20. Domestic violence,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,"21. Withdraw of assistance (government, NGO, or other organizations)",,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,22. Increase in price of farming/business inputs (excluding petrol and other fuels),,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,23. Fall in the price of farming/business output,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,24. Increase in price of major food items usually consumed by the household,,1,1. YES,10,2. 2024,1. YES,2. NO,22. DID NOTHING,,,,,4. DIDNâ€™T KNOW WHAT TO DO
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,25. Increase in price of oil and fuel,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,"26. Increase in prices of other fuels (excluding petrol) (e.g. cooking gas, kerosene, firewood, charcoal)",,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,27. Shortage/scarcity of petrol,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,28. Dwelling/farm buildings/business facilities damaged or demolished,,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,96. Other (specify),,1,2. NO,,,,,,,,,,
5. South South,10. Delta,1017. SAPELE,2. RURAL,0,109081,1. Floods,,2,1. YES,3,1. 2023,1. YES,2. NO,6. ENGAGED IN ADDITIONAL INCOME GENERATING ACTIVITIES,,,,,
