zone,state,lga,sector,ea,hhid,cluster,strata,wt_wave5,wt_longpanel_wave5,wt_cross_wave5,interview_result,old_new,trackedw4,trackedw5pp,hh_located,hh_moved,hh_able_toint,rspavl,consent,InterviewStart,ag1,ag1a,ag1b__1,ag1b__2,ag1b__3,ag1b__4,ag1b__5,ag1c_1,ag1c_2,ag1c_3,ag1c_os,ag2,ag3,ag4
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109073,1013-88,5,,,,6. UNAVAILABLE FOR INTERVIEW,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,2. NO,,,,,,,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109074,1013-88,5,4580.76904296875,,7587.728777137133,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-01T12:53:54,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109076,1013-88,5,4392.56494140625,,10338.066761325426,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-03T08:42:00,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109077,1013-88,5,4480.63916015625,,6329.858571547556,1. COMPLETE,2. New panel household,2. NO,1. YES,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-10-16T08:26:28,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109078,1013-88,5,4392.56494140625,,6032.3427675593675,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-03T11:06:42,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109080,1013-88,5,4437.52490234375,,6659.476525429127,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-02T09:35:58,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1017. SAPELE,2. RURAL,0,109081,1013-88,5,4437.52490234375,,7706.692107485463,1. COMPLETE,2. New panel household,2. NO,1. YES,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-10-12T11:05:12,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109082,1013-88,5,4221.3740234375,,7211.388105445743,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-07T15:35:54,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,88,109083,1013-88,5,4221.3740234375,,8412.30465549549,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-01T09:59:45,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,410,109085,1013-410,5,3191.69287109375,,4921.9064288723675,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-22T07:39:45,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,410,109086,1013-410,5,,,,6. UNAVAILABLE FOR INTERVIEW,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,2. NO,,,,,,,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,410,109087,1013-410,5,3191.69287109375,,6153.769113727512,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-22T11:34:22,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,410,109088,1013-410,5,3128.954833984375,,5745.9262301725275,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-23T09:24:28,1. YES,2. NO,,,,,,,,,,2. NO,1. YES,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,0,109089,1013-410,5,3263.018310546875,,4158.677075998214,1. COMPLETE,2. New panel household,2. NO,1. YES,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-10-14T10:19:39,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,410,109091,1013-410,5,3160.9814453125,,4921.9064288723675,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-23T14:12:14,1. YES,2. NO,,,,,,,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,410,109092,1013-410,5,3128.954833984375,,4632.04779327783,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-26T16:42:42,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,410,109093,1013-410,5,3011.822265625,,4869.202797523921,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-22T07:51:44,1. YES,2. NO,,,,,,,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,410,109095,1013-410,5,3128.954833984375,,6381.159788529356,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-26T07:04:19,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,948,109096,1013-948,5,,,,4. UNABLE TO IDENTIFY HOUSEHOLD,2. New panel household,2. NO,1. YES,2. NO,,,,,,,,,,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,948,109099,1013-948,5,4200.2138671875,,8528.319902142697,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-18T11:10:59,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,948,109100,1013-948,5,4108.40234375,,6928.139380297853,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-17T15:52:15,2. NO,2. NO,,,,,,1. NO LONGER OWN LAND,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,948,109101,1013-948,5,4108.40234375,,7198.993685216621,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-17T15:20:54,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,948,109103,1013-948,5,4607.408203125,,7816.749132497853,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-17T11:00:22,2. NO,2. NO,,,,,,1. NO LONGER OWN LAND,9. FLOOD DAMAGED THE LAND,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,948,109104,1013-948,5,4415.5185546875,,8395.303260423689,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-17T10:56:04,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,948,109106,1013-948,5,4200.2138671875,,6689.162466512956,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-19T13:55:11,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,948,109107,1013-948,5,4415.5185546875,,6341.005914904326,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-17T14:16:17,2. NO,2. NO,,,,,,1. NO LONGER OWN LAND,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,1054,109108,1013-1054,5,,,,5. HOUSEHOLD HAS MOVED AWAY,2. New panel household,2. NO,1. YES,2. NO,,,,,,,,,,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,1054,109110,1013-1054,5,11902.9873046875,,16953.23068119881,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-04T16:31:41,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,2. NO,,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1025. WARR  SOUTH,2. RURAL,0,109111,1013-1054,5,,,,6. UNAVAILABLE FOR INTERVIEW,2. New panel household,2. NO,1. YES,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,2. NO,,,,,,,,,,,,,,,,
5. South South,10. Delta,1013. OKPE,2. RURAL,1054,109112,1013-1054,5,12168.9853515625,,12260.888406148626,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-04T12:47:49,2. NO,2. NO,,,,,,5. LAND LEFT FALLOW,7. COST OF INPUTS TOO HIGH,96. OTHER (SPECIFY),DEATH OF THE HEAD OF HOUSEHOLD,1. YES,2. NO,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,1054,109114,1013-1054,5,11788.453125,,16739.725271331237,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-06T16:56:58,1. YES,2. NO,,,,,,,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,1054,109115,1013-1054,5,11788.453125,,15761.434898089754,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-04T11:52:39,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,,,,,1. YES,2. NO,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,1054,109117,1013-1054,5,11788.453125,,15105.640960006269,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-06T11:49:29,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,2. NO,1. YES,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,1054,109118,1013-1054,5,12168.9853515625,,19791.521278565822,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-05T13:06:50,2. NO,2. NO,,,,,,1. NO LONGER OWN LAND,,,,2. NO,1. YES,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,1054,109119,1013-1054,5,11788.453125,,18861.662306282647,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-06T12:17:58,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,1. YES,,,,,2. NO,1. YES,2. NO
5. South South,10. Delta,1022. UWIE,1. URBAN,30,109121,1022-30,5,6094.939453125,,9590.675495883283,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-12T16:31:17,2. NO,2. NO,,,,,,1. NO LONGER OWN LAND,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1022. UWIE,1. URBAN,30,109122,1022-30,5,6094.939453125,,10072.841874071957,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-10T13:52:40,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1022. UWIE,1. URBAN,30,109123,1022-30,5,5342.86865234375,,9577.246157326717,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-11T12:32:05,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1022. UWIE,1. URBAN,30,109124,1022-30,5,5671.0126953125,,10893.39939056912,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-10T14:05:24,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,,,,,2. NO,2. NO,1. YES
5. South South,10. Delta,1022. UWIE,1. URBAN,30,109126,1022-30,5,5797.744140625,,10913.58063543289,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-13T14:19:22,2. NO,2. NO,,,,,,5. LAND LEFT FALLOW,7. COST OF INPUTS TOO HIGH,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1022. UWIE,1. URBAN,30,109127,1022-30,5,,,,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-10T13:09:32,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1022. UWIE,1. URBAN,30,109128,1022-30,5,5671.0126953125,,7777.6086868102775,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-11T16:38:45,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1022. UWIE,1. URBAN,30,109129,1022-30,5,5671.0126953125,,7145.421473931609,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-12T14:36:46,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,,,,,1. YES,2. NO,2. NO
5. South South,10. Delta,1022. UWIE,1. URBAN,30,109130,1022-30,5,,,,5. HOUSEHOLD HAS MOVED AWAY,2. New panel household,2. NO,1. YES,2. NO,,,,,,,,,,,,,,,,,,,
5. South South,9. Cross River,909. CALABAR SOUTH,1. URBAN,0,109131,1022-30,5,5797.744140625,,10959.35252203175,1. COMPLETE,2. New panel household,2. NO,1. YES,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-10-10T10:04:44,2. NO,2. NO,,,,,,96. OTHER (SPECIFY),,,ACCIDENT,2. NO,2. NO,2. NO
5. South South,10. Delta,1022. UWIE,1. URBAN,386,109132,1022-386,5,2413.51708984375,,3808.973663322448,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-22T15:10:30,2. NO,2. NO,,,,,,1. NO LONGER OWN LAND,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1022. UWIE,1. URBAN,386,109133,1022-386,5,2366.075439453125,,4765.159735960492,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-21T09:30:11,1. YES,2. NO,,,,,,,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1020. UGHELLI SOUTH,1. URBAN,0,109134,1022-386,5,2366.075439453125,,4726.479986284509,1. COMPLETE,2. New panel household,2. NO,1. YES,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-10-13T13:04:27,2. NO,2. NO,,,,,,1. NO LONGER OWN LAND,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1022. UWIE,1. URBAN,386,109135,1022-386,5,2467.452392578125,,4762.2900447257425,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-21T13:49:02,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1022. UWIE,1. URBAN,386,109136,1022-386,5,2366.075439453125,,3539.512787297306,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-21T16:08:54,2. NO,2. NO,,,,,,96. OTHER (SPECIFY),,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1022. UWIE,1. URBAN,386,109137,1022-386,5,2366.075439453125,,3539.512787297306,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-21T09:08:07,1. YES,2. NO,,,,,,,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1022. UWIE,1. URBAN,386,109139,1022-386,5,2366.075439453125,,2885.9272870653745,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-22T11:03:08,2. NO,2. NO,,,,,,1. NO LONGER OWN LAND,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1022. UWIE,1. URBAN,386,109141,1022-386,5,2467.452392578125,,3264.1168333037326,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-22T17:36:40,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1022. UWIE,1. URBAN,386,109142,1022-386,5,2467.452392578125,,3585.8873782311284,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-22T10:57:20,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1023. WARRI NORTH,2. RURAL,346,109145,1023-346,5,4550.1015625,,8254.556122165222,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-28T18:02:25,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1025. WARR  SOUTH,2. RURAL,0,109147,1023-346,5,4550.1015625,,7052.080534779055,1. COMPLETE,2. New panel household,2. NO,1. YES,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-10-09T12:17:52,2. NO,2. NO,,,,,,13. SWITCHED TO OTHER INCOME GENERATING ACTIVITIES,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1023. WARRI NORTH,2. RURAL,346,109148,1023-346,5,4890.236328125,,6864.414987642656,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-28T17:52:43,2. NO,2. NO,,,,,,1. NO LONGER OWN LAND,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1024. WARR  SOUTH WEST,2. RURAL,0,109149,1023-346,5,5102.75634765625,,7439.27899010801,1. COMPLETE,2. New panel household,2. NO,1. YES,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-10-10T10:42:45,2. NO,2. NO,,,,,,13. SWITCHED TO OTHER INCOME GENERATING ACTIVITIES,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1023. WARRI NORTH,2. RURAL,346,109150,1023-346,5,4651.78369140625,,7209.520291420247,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-28T18:45:10,2. NO,2. NO,,,,,,9. FLOOD DAMAGED THE LAND,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1023. WARRI NORTH,2. RURAL,346,109151,1023-346,5,4550.1015625,,11392.82207370048,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-29T07:32:58,2. NO,2. NO,,,,,,1. NO LONGER OWN LAND,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1023. WARRI NORTH,2. RURAL,346,109152,1023-346,5,5102.75634765625,,11144.83627853555,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-28T19:22:18,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1023. WARRI NORTH,2. RURAL,346,109153,1023-346,5,4651.78369140625,,7307.711927260417,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-29T10:45:54,2. NO,2. NO,,,,,,1. NO LONGER OWN LAND,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1023. WARRI NORTH,2. RURAL,346,109154,1023-346,5,4550.1015625,,10697.882764849326,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-29T08:54:49,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,2. NO,2. NO,2. NO
6. South West,27. Ogun,2707. IFO,2. RURAL,0,109155,1023-346,5,5102.75634765625,,7950.039850595158,1. COMPLETE,2. New panel household,2. NO,1. YES,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-10-11T10:12:00,2. NO,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,1. NO LONGER OWN LAND,,,,1. YES,2. NO,2. NO
5. South South,10. Delta,1002. ANIOCHA SOUTH,1. URBAN,114,109156,1002-114,5,2699.886474609375,,5091.308521737175,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-02T13:57:23,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1002. ANIOCHA SOUTH,1. URBAN,114,109157,1002-114,5,2831.294677734375,,4022.2397785007724,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-03T08:26:07,2. NO,2. NO,,,,,,6. NOT ENOUGH TIME/LABOR/HELP TO CULTIVATE,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1005. ETHIOPE EAST,2. RURAL,0,109166,1013-88,5,5024.85693359375,,7032.196848834386,1. COMPLETE,2. New panel household,2. NO,1. YES,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-10-11T12:11:54,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,410,109169,1013-410,5,3043.557373046875,,5799.1553987267,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-22T15:04:14,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,948,109170,1013-948,5,4415.5185546875,,10199.646940014065,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-17T11:54:27,2. NO,2. NO,,,,,,9. FLOOD DAMAGED THE LAND,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,948,109171,1013-948,5,4200.2138671875,,7066.248402111916,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-17T13:14:51,2. NO,2. NO,,,,,,1. NO LONGER OWN LAND,14. LAND DISPUTE,,,2. NO,2. NO,2. NO
5. South South,10. Delta,1013. OKPE,2. RURAL,1054,109173,1013-1054,5,12792.7734375,,21196.313416692636,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-05T09:18:52,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,2. NO,1. YES,2. NO
5. South South,10. Delta,1022. UWIE,1. URBAN,386,109176,1022-386,5,2390.29345703125,,3662.5143569063234,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-21T14:39:47,1. YES,2. NO,,,,,,,,,,2. NO,2. NO,2. NO
4. South East,11. Ebonyi,1104. EBONYI,1. URBAN,2028,110001,1104-2028,4,5890.5791015625,11305.046875,4351.389392452334,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-07T11:58:39,2. NO,2. NO,,,,,,7. COST OF INPUTS TOO HIGH,,,,1. YES,2. NO,2. NO
